file_path,utility_type,policy_types,product_name,coverage_type,target_audience,
policies/Saral Pension-Retirement Plan.pdf,Retirement Plan,Pension Plans,Saral Pension,Pension,Individual,
policies/Smart Scholar Plus-Child Plan.pdf,Child Plan,"Child Plans, Unit-Linked Insurance Plans",Smart Scholar Plus,"Life coverage, accident coverage, and investment for child",Parents,
policies/Saral Swadhan Supreme-Protection Plan.pdf,Protection Plan,Endowment Plans,Saral Swadhan Supreme,Life coverage with return of premium,Individual,
policies/Smart Elite Plus-Wealth Creation with insurence.pdf,Wealth Creation with insurence,Unit-Linked Insurance Plans,Smart Elite Plus,"Life coverage, accident coverage, and investment-linked savings",Individual / HNI,
policies/Smart Platina Young Achiever-Child Plan.pdf,Endowment Plans,Child Plans,Smart Platina Young Achiever,Child Plan,Life coverage and savings for child's future milestones,Parents planning for child's future
policies/Smart Fortune Builder-Wealth Creation with insurence.pdf,Wealth Creation with insurence,Unit-Linked Insurance Plans,Smart Fortune Builder,Life coverage and investment growth,Individual,
policies/eShield Next-Protection Plan.pdf,Protection Plan,Term Life Insurance,eShield Next,Life coverage and terminal illness,Individual
policies/Smart Privilege Plus-Wealth Creation with insurence.pdf,Wealth Creation with insurence,Unit-Linked Insurance Plans,Smart Privilege Plus,Life coverage and investment,"Individual, HNI"
policies/Smart Annuity Plus-Retirement Plan.pdf,Retirement Plan,Pension Plans,Smart Annuity Plus,Pension,Individual
policies/Smart Annuity Income-Retirement Plan.pdf,Retirement Plan,Pension Plans,Smart Annuity Income,Pension / Annuity Income,NPS subscribers
policies/New Smart Samriddhi-Savings Plan.pdf,Savings Plan,Endowment Plans,New Smart Samriddhi,Life coverage with savings,Individual
policies/Smart Platina Assure-Savings Plan.pdf,Savings Plan,Endowment Plans,Smart Platina Assure,Life cover and savings,Individual
policies/Smart Shield Premier-Protection Plan.pdf,Protection Plan,Term Life Insurance,Smart Shield Premier,Life coverage,High Net worth Individuals (HNI)
policies/Retire Smart Plus-Retirement Plan.pdf,Retirement Plan,Pension Plans;Unit-Linked Insurance Plans,Retire Smart Plus,Pension Savings,Individual
policies/Smart Platina Plus-Savings Plan.pdf,Savings Plan,Endowment Plans;Pension Plans,Smart Platina Plus,Life cover and guaranteed income,Individual
policies/Saral Jeevan Bima-Protection Plan.pdf,Protection Plan,Term Life Insurance,Saral Jeevan Bima,life coverage,individual
policies/Smart Bachat Plus-Savings Plan.pdf,Savings Plan,Endowment Plans,Smart Bachat Plus,"Life coverage, savings, and optional accident benefits",Individual
policies/Smart Lifetime Saver-Savings Plan.pdf,Savings Plan,Whole Life Insurance;Pension Plans;Child Plans,Smart Lifetime Saver,Life coverage and regular income,"Individual, Family"
policies/eWealth Plus-Wealth Creation with insurence.pdf,Wealth Creation with insurence,Unit-Linked Insurance Plans;Term Life Insurance,eWealth Plus,Life coverage and market-linked investment,Individual
policies/Smart Platina Supreme-Savings Plan.pdf,Savings Plan,Endowment Plans;Pension Plans,Smart Platina Supreme,Life coverage and guaranteed income,Individuals and families
policies/Smart Swadhan Supreme-Protection Plan.pdf,Protection Plan,Term Life Insurance,Smart Swadhan Supreme,Life cover with return of premium,Individual
policies/Smart Shield-Protection Plan.pdf,Protection Plan,Term Life Insurance,Smart Shield,Life coverage,Individual
policies/Smart Future Star-Child Plan.pdf,Child Plan,Child Plans;Endowment Plans,Smart Future Star,Life insurance and savings for child's future,Parents
policies/eShield Insta-Protection Plan.pdf,Protection Plan,Term Life Insurance,eShield Insta,life coverage,individual
policies/Smart Swadhan Neo-Protection Plan.pdf,Protection Plan,Term Life Insurance,Smart Swadhan Neo,Life coverage with return of premium,Individual
